,precision,recall,f1-score,support
ก,0.7477148080438757,0.966903073286052,0.843298969072165,846.0
ข,0.6606060606060606,0.9018912529550828,0.7626186906546727,846.0
ฃ,0.8335684062059239,0.6985815602836879,0.760128617363344,846.0
ค,0.835881753312946,0.9692671394799054,0.8976464148877942,846.0
ฅ,0.9567307692307693,0.9408983451536643,0.9487485101311085,846.0
ฆ,0.9591584158415841,0.9160756501182034,0.9371221281741233,846.0
ง,0.9871495327102804,0.9988179669030733,0.9929494712103408,846.0
จ,0.8525641025641025,0.9432624113475178,0.8956228956228957,846.0
ฉ,0.9872611464968153,0.9160756501182034,0.950337216431637,846.0
ช,0.8592493297587132,0.7576832151300237,0.8052763819095478,846.0
ซ,0.9157392686804452,0.6808510638297872,0.7810169491525424,846.0
ฌ,0.9135135135135135,0.9988179669030733,0.9542631281761716,846.0
ญ,0.9472477064220184,0.9763593380614657,0.9615832363213038,846.0
ญ(ติด),0.9545454545454546,1.0,0.9767441860465116,756.0
ฎ,0.5842696629213483,0.983451536643026,0.7330396475770925,846.0
ฏ,0.985663082437276,0.32505910165484636,0.4888888888888889,846.0
ฐ,0.9936575052854123,0.5555555555555556,0.7126611068991661,846.0
ฐ(ติด),0.9986648865153538,0.9894179894179894,0.9940199335548173,756.0
ฑ,0.9844155844155844,0.8959810874704491,0.9381188118811881,846.0
ฒ,1.0,0.942080378250591,0.9701765063907486,846.0
ณ,0.9912718204488778,0.9397163120567376,0.9648058252427184,846.0
ด,0.9116684841875682,0.9881796690307328,0.9483834373227453,846.0
ต,0.9856396866840731,0.892434988179669,0.9367245657568238,846.0
ถ,0.9567099567099567,0.7836879432624113,0.8615984405458089,846.0
ท,0.883538633818589,0.9326241134751773,0.9074180563542266,846.0
ธ,0.8302845528455285,0.9657210401891253,0.892896174863388,846.0
น,0.9861635220125786,0.9267139479905437,0.95551492992078,846.0
บ,0.8918345705196182,0.9940898345153665,0.9401900503074343,846.0
ป,0.9952718676122931,0.9952718676122931,0.9952718676122931,846.0
ปั(ติด),0.768640350877193,0.9272486772486772,0.8405275779376499,756.0
ป็(ติด),0.9197930142302717,0.9404761904761905,0.9300196206671026,756.0
ป้(ติด),0.8979591836734694,0.8148148148148148,0.8543689320388349,756.0
ผ,0.982373678025852,0.9881796690307328,0.985268120212139,846.0
ฝ,0.8197674418604651,1.0,0.9009584664536742,846.0
ฝั(ติด),0.9069020866773676,0.7473544973544973,0.8194343727338651,756.0
ฝ้(ติด),0.8461538461538461,0.9166666666666666,0.88,756.0
พ,0.992831541218638,0.9822695035460993,0.9875222816399287,846.0
ฟ,0.9952718676122931,0.9952718676122931,0.9952718676122931,846.0
ฟั(ติด),0.899581589958159,0.8531746031746031,0.8757637474541752,756.0
ฟ้(ติด),0.8645569620253165,0.9034391534391535,0.8835705045278137,756.0
ภ,0.9850374064837906,0.933806146572104,0.9587378640776699,846.0
ม,0.9443181818181818,0.9822695035460993,0.9629200463499421,846.0
ย,0.9647473560517039,0.9704491725768322,0.9675898644667059,846.0
ร,0.9852941176470589,0.8711583924349882,0.9247176913425345,846.0
ฤ,0.8254901960784313,0.9952718676122931,0.902465166130761,846.0
ล,0.9194260485651214,0.9846335697399528,0.9509132420091324,846.0
ฦ,0.9946018893387314,0.8711583924349882,0.9287964713295526,846.0
ว,0.8762993762993763,0.9964539007092199,0.9325221238938053,846.0
ศ,0.9972565157750343,0.859338061465721,0.9231746031746032,846.0
ศี(ติด),0.9293785310734464,0.8989071038251366,0.9138888888888889,366.0
ศื(ติด),0.6968503937007874,0.9389920424403183,0.8,377.0
ษ,0.9976303317535545,0.9952718676122931,0.9964497041420118,846.0
ส,0.9906166219839142,0.8735224586288416,0.928391959798995,846.0
สั(ติด),0.9333333333333333,1.0,0.9655172413793104,756.0
สิ(ติด),0.9434523809523809,0.990625,0.9664634146341463,320.0
สี(ติด),0.9329268292682927,0.9026548672566371,0.9175412293853074,339.0
สื(ติด),1.0,0.5214899713467048,0.6854990583804144,349.0
ส้(ติด),0.9955555555555555,0.6829268292682927,0.810126582278481,328.0
ห,0.9937185929648241,0.9349881796690307,0.9634591961023142,846.0
ฬ,0.9663573085846868,0.9846335697399528,0.9754098360655737,846.0
อ,0.9257206208425721,0.9869976359338062,0.9553775743707094,846.0
อั,0.9677819083023544,0.9231678486997635,0.9449485783424078,846.0
อำ,0.8516949152542372,0.950354609929078,0.8983240223463688,846.0
อิ,0.9848675914249685,0.9231678486997635,0.9530201342281879,846.0
อี,0.9465648854961832,0.7328605200945626,0.8261159227181879,846.0
อี่(ติด),0.766260162601626,0.9973544973544973,0.8666666666666667,756.0
อี้(ติด),0.49440421329822254,0.9933862433862434,0.6602197802197802,756.0
อึ,0.6980286738351255,0.9208037825059102,0.7940876656472987,846.0
อึ่(ติด),0.8626560726447219,0.5026455026455027,0.6351859590472211,1512.0
อึ้(ติด),0.835820895522388,0.5925925925925926,0.6934984520123839,756.0
อื,0.9639344262295082,0.6950354609929078,0.8076923076923077,846.0
อื่(ติด),0.8277372262773722,0.75,0.7869535045107564,756.0
อุ,0.9111374407582938,0.9089834515366431,0.9100591715976332,846.0
อู,0.9306698002350177,0.9361702127659575,0.9334119033588686,846.0
อ็,0.8513931888544891,0.975177304964539,0.9090909090909091,846.0
อ็ไ(ติด),0.9546079779917469,0.917989417989418,0.9359406608226568,756.0
อ่,0.9718076285240465,0.6926713947990544,0.8088336783988958,846.0
อ้,0.9610231425091352,0.9326241134751773,0.9466106778644271,846.0
อ้โ(ติด),0.6300294406280668,0.8492063492063492,0.7233802816901408,756.0
อ้ใ(ติด),0.9892183288409704,0.48544973544973546,0.6512866015971606,756.0
อ้ไ(ติด),0.48855461085676916,0.9880952380952381,0.6538293216630197,756.0
อ๊,0.9973684210526316,0.8959810874704491,0.9439601494396015,846.0
อ๋,0.9710312862108922,0.9905437352245863,0.9806904622586308,846.0
อ์,0.991725768321513,0.991725768321513,0.991725768321513,846.0
อ์โ(ติด),0.8167456556082149,0.6838624338624338,0.7444204463642908,756.0
อ์ใ(ติด),0.9778869778869779,0.5264550264550265,0.6844368013757524,756.0
อ์ไ(ติด),0.6097987751531059,0.921957671957672,0.7340705634544498,756.0
ฮ,0.9804177545691906,0.8877068557919622,0.9317617866004962,846.0
ฯ,0.9431171786120591,0.9799054373522459,0.9611594202898551,846.0
า,0.6863636363636364,0.892434988179669,0.775950668036999,846.0
฿,0.9952550415183867,0.991725768321513,0.9934872705743043,846.0
เ,0.9483146067415731,0.9976359338061466,0.9723502304147466,846.0
โ,0.8593576965669989,0.91725768321513,0.8873642081189251,846.0
ใ,0.9979959919839679,0.5886524822695035,0.7405204460966542,846.0
ไ,0.8202614379084967,0.8900709219858156,0.8537414965986394,846.0
ๅ,0.847769028871391,0.7635933806146572,0.8034825870646766,846.0
ๆ,0.9841954022988506,0.8096926713947991,0.8884565499351491,846.0
accuracy,0.8804100666743747,0.8804100666743747,0.8804100666743747,0.8804100666743747
macro avg,0.9010064373658077,0.880586104602652,0.8785202818784594,77841.0
weighted avg,0.9017579360208198,0.8804100666743747,0.8790288737918724,77841.0
